Date,Username,Name,Location,Followers,Text
2020-04-19 23:59:54,@Harry23602915,Harry,,0,"Let’s all do our bit to unite against COVID-19. First of all , stay home!!!"
2020-04-19 23:59:54,@daver1811,Dave Reardon,Liverpool ,1360,"He was out on the streets fot the floods back in January  Johnson was on his holidays He’s on the streets again holding the government to account about covid 19 Johnson once again on his jolly’s Corbyn cares,that’s what makes this hurt cos things would’ve been so much different https://t.co/yXt9zGpI4e"
2020-04-19 23:59:53,@doc_revan,Doc_Vader,,19177,Christians are the only group leftists hate more than Trump .....No Police Raids? Syracuse Mosque Continues Holding Daily Prayers Amid COVID-19 Lockdown As Christians Are Threatened and Fined For Attending Drive-In Services https://t.co/99BL4Rwcth via @gatewaypundit
2020-04-19 23:59:53,@attylev,paul levin,"Hartford, CT",119,COVID 19 EMPLOYER DUTIES UNDER CONNECTICUT LAW IN THE AGE OF COVID 19 RISKS https://t.co/RdEN5NQPSl
2020-04-19 23:59:53,@peggy55408,peggy55408,Minneapolis,116,"If population of USA is 328,000,000 and 4,000,000 tests for Covid-19 were done, what percent of population doesn’t know if they have Covid-19? Asking for WHPress secretary."
2020-04-19 23:59:52,@edificelabs,Edifice Labs,Bangalore,215,@realDonaldTrump Invoking the Divine Feminine.Please rescue us .We surrender. https://t.co/9zOL4UYdcE @narendramodi @realDonaldTrump @EmmanuelMacron @AngelaMerkeICDU @KremlinRussia @AbeShinzo @BarackObama @ScottMorrisonMP #COVID #Covid_19 #quarantine #QuarantineLife #StayAtHome #StayHome #Corona
2020-04-19 23:59:52,@wittroc63675401,wittrock,,1,Dems play ‘blame game’ while republicans try to ‘problem solve’  #coronavirus #politics
2020-04-19 23:59:52,@taimratc,Tamirat Chane,,60,"WHO's COVID-19 log: Conflicts, questions, chaos and US https://t.co/zJjaJCeMuB"
2020-04-19 23:59:52,@chanheetrolo,ً,,0,Covid 19  https://t.co/XDkRbsMUu8
2020-04-19 23:59:51,@RhondaJFlanagan,Rhonda,"Amsterdam, NY",737,reported a Tweet that showed someone tormenting a frog—Tweet seems to b gone now.   I will report any Tweets showing cruelty to animals. unfortunately seems to be more as Lockdown continues.   please remember animals at this time also. #coronavirus #animalcruelty #animalabuse🖤
2020-04-19 23:59:51,@JasonBoyer_29,Jason Boyer,"Pittsburgh, PA",332,This is what happens when you’re wearing a mask outside 😆 #coronavirus #Corona #CoronavirusPandemic #COVID19 https://t.co/0qBzHUf323
2020-04-19 23:59:51,@kerry98198,Kerry Hutchins 🇬🇧👉🇺🇸,,513,"@Monkeys_Breath @DrKarlynB We know those who get this virus are immunocompromised, elderly, or have underlying conditions. Look at NYC dept of health table attached, ONLY 50 people who died had no underlying conditions. If you're vulnerable, stay home, let everyone else get back to work! #coronavirus https://t.co/WqhniI3S35"
2020-04-19 23:59:51,@TheDes1790,The Des,Washington dc,47,We talked about who is dying from COVID-19. It's alot of people who were just about to get out.   https://t.co/38IiKYtehb
2020-04-19 23:59:50,@stacesullivan,Stacy Sullivan,,140,What Does It Mean to Have Faith Now? on @goop: https://t.co/NAJ43Z0Pbz
2020-04-19 23:59:50,@TheDes1790,The Des,Washington dc,47,This weeks's newsletter: prison can amplify political voice and COVID-19 deaths begin  https://t.co/BPMUyPC4x8 https://t.co/bpUmQpRnHV
2020-04-19 23:59:49,@WomenInBIOSoCal,Women In Bio-SoCal,SoCal,973,Get answers to your questions about COVID-19 pandemic. Young Women In Bio (YWIB) Online has developed video modules available for all students. Learn the science behind and reason for the shelter-in-place and personal hygiene recommendations. Go to https://t.co/7Hs9HDuS1v https://t.co/KeDl5troch
2020-04-19 23:59:49,@sualau,Sus & the News,"Houston, Poole, & Budapest",282,"He says he will take 1 or 2 more. Counting: 1, 2, 3, 4. And he cuts it off. He looks like he is limping as he leaves the room.  #PresserCOVID19 #Presser #COVID19 #coronavirus #COVIDー19"
2020-04-19 23:59:49,@WeRListning,We R Listening®,Worldwide,1178,"Watch We R Listening's 1st V~Log: ""COVID-19 and its Affects on the Youth: Validating feelings of anxiety""  https://t.co/AqNk5VQte1  #coronavirus #coronavirusandyouth"
2020-04-19 23:59:48,@StickNewchurch,Stick Newchurch,Baton Rouge,446,@LaceShantelley So he was one of the &gt;.1% got it 👌🏻 more people died in car accidents today than Covid 19
2020-04-19 23:59:48,@Arabia5AM,ARABIA 5AM,,73,G20 SAUDI ARABIA | G20 Health Ministers Acknowledge Health Systems’ Vulnerability To Pandemics: Statement #G20 #G20SaudiArabia #COVID19KSA #KSA #SaudiNews #GlobalFightAgaintCovid19 #COVID-19 https://t.co/DQhyKGhIL2 https://t.co/hGWWLNaS61
2020-04-19 23:59:48,@bbridgesradio,ken nash,,153,"WBAI 99.5FM. TODAY, Monday 4-20, 7PM EST. Building Bridges: Saving Democracy from the Coronavirus &amp; Trump; Poultry Industry is Killing Essential Workers; Foodservice Workers Rising-Up. Produced by Mimi Rosenberg &amp; Ken Nash  #coronavirus #COVID19 https://t.co/0W466nIYP6"
2020-04-19 23:59:48,@BjayukCat,john titchener,New Zealand,3508,"Covid 19 coronavirus: The Atlantic magazine says Jacinda Ardern 'may be the most effective leader on the planet', via @nzherald https://t.co/WjItPukH7g  I am not a Labour fan, but I agree the P.M. is doing a fantastic job."
2020-04-19 23:59:47,@OverItDorothys1,OverIt@Dorothysnell,"Anywhere, USA",33,"https://t.co/nI58wrkXyc What a PO💩, PASTOR! PANHANDLING FOR PPLS STIMULUS CHECKS! THE ""SAD"" PART IS, SOME DUMB FUCKS WILL DO IT! WAITING TO ""READ"" HOW MANY ""SHEEPLE"" COME DOWN WITH ""COVID-19""! DUDE IS JUST AS FUCKED UP AS TELEVANGELIST! MY ""GOD"" 👀 ALL &amp; DOESN'T SLEEP! U SCHMUCK"
2020-04-19 23:59:47,@stevegregory9,Chapocito,NYC,604,@NYGovCuomo be more like Sweden https://t.co/zToZp9k0ha
2020-04-19 23:59:47,@Acheema463,driver_cei,Canada,9,"No movie,song,serial on covid-19 @bollywood_life @Punjabipollywod @OnlineTollywood"
2020-04-19 23:59:47,@s_samyjay,Samuel,,1088,"@tolutezzy_ If you follow the news, it was reported that in just a single day more than 2k cases of Covid-19 was confirmed in a country. Can u wonder how they got people for testing? The numbers aren't doctored! It's what it's."
2020-04-19 23:59:47,@Ameenu_Kutama,Anders🔴,Inner Rumblings ,7292,COVID-19 cases have become a point for ethnic chauvinism🤦🏽‍♂️
2020-04-19 23:59:47,@johnleremainer,John W Jaggard. #Social distancing saves lives.,Sulu Terrane,7899,@donelson52 @ABCPolitics It seems to me as a detached observer that Trump is simply trying to create as much chaos as possible in the country before November. COVID-19 ? Armed militias ? Postpone the election ?
2020-04-19 23:59:46,@Small_Stuff_,V for Vendetta,,2268,Covid-19 with a blast from the past 🤣 https://t.co/BVz9Taivtr
2020-04-19 23:59:46,@BearcowCowart,Barry cowart,"Blue Ridge, GA",63,Watching the COVID-19 Presidential press conference.  I am amazed at how our media is so disrespectful to the point of total interruption of POTUS!   What happened to family values?   I was always taught to respect people.  By all means the POTUS!  Time to take action! #enough
2020-04-19 23:59:46,@Newzjunkie_,News Junkie,On Your Timeline,477,#Trump says he’d be willing to give #coronavirus aid to Iran https://t.co/kx3wl1ZXHa https://t.co/oK0Q4EDmDo (via@thehill)
2020-04-19 23:59:46,@CuddleBear76,Dr. Cuddles,"2550 Lone Oak Rd, Paducah, KY ",579,"#BREAKING - #Broadway  ""Broadway actor Nick Cordero has leg amputated after serious COVID-19 complications""  https://t.co/M5SrmtV8PZ"
2020-04-19 23:59:45,@edificelabs,Edifice Labs,Bangalore,215,@realDonaldTrump @fema Invoking the Divine Feminine.Please rescue us .We surrender. https://t.co/9zOL4UYdcE @narendramodi @realDonaldTrump @EmmanuelMacron @AngelaMerkeICDU @KremlinRussia @AbeShinzo @BarackObama @ScottMorrisonMP #COVID #Covid_19 #quarantine #QuarantineLife #StayAtHome #StayHome #Corona
2020-04-19 23:59:45,@glamtush,Glam Tush,"Lagos, Nigeria",484,Breaking: NCDC Confirms 86 New COVID-19 Cases In Nigeria - https://t.co/I0xJHBpgDx https://t.co/UVQVXRfKDC
2020-04-19 23:59:44,@thenewsnigeria,The News Nigeria,"Lagos, Nigeria",59596,COVID-19: WHO official tests positive in Bauchi https://t.co/l5g4I3x5Dt https://t.co/MKVgIHNxED
2020-04-19 23:59:44,@cummingswj,Bill Cummings,"pittsburgh, pa",316,@KDKA @WPXI @WTAE... I really hate being right... you might wanna look into this..  https://t.co/sczN1h1KVz
2020-04-19 23:59:44,@JapanTrends,Japan Trends,"Tokyo, Japan",2315,"Tokyo, in a State of Emergency, Yet Still Having Drinks at a Bar #covid19 #coronavirus https://t.co/G5T6zSt0Z2"
2020-04-19 23:59:44,@mari_heff,🍀MariHeff🍀,,149,"@realDonaldTrump is off the rails yet again.....can’t be honest at all. Defensive, combative, and a liar. #coronavirus #LiarInChief https://t.co/xuXj5HXvUd"
2020-04-19 23:59:43,@TurnageJohn,John Turnage,"Pleasantville,Iowa",730,One day? https://t.co/pMaJI1RXOU
2020-04-19 23:59:43,@GabwithGwen,Gab with Gwen Podcast 🎧,"New York, NY",230,Literally was just talking about this. Best NY Accent Honorable mention whose commentary is right on time and spot on. The government is playing games right now in the response to the covid-19 pandemic.⛔ #nyc… https://t.co/nzMMrbTeQd
2020-04-19 23:59:43,@msdefyer,Janice Booth,"North Carolina, USA",17,Trump is attacking reporters again. It never ends. Our president is making personal attacks on reporters. Why?  And blaming Obama for bad Covid-19 tests. Covid-19 didn't  exist in humans then.
2020-04-19 23:59:43,@DayoWil,Dayo Williams,Nigeria,226,@VOANews @cchukudebelu They don't know how notorious the novel COVID-19 pandemic is.
2020-04-19 23:59:43,@Gumelesq03,"Auwal Ya’u, Esq, APD.","Kano, Nigeria",542,"O'Allah you commanded us to ask,  and promised/assured us to answer the request. We come before you cups in hand and beseech your omnipotence, omnipresence and omniscience to repel away this pandemic (COVID-19) from our land and any other part of the world. Amin https://t.co/6d6CcMUW6R"
2020-04-19 23:59:43,@walt828,Scott Walters,"Bakersville, NC",968,@bennyjohnson Nonsense! It is about preventing people from contracting COVID-19 by going to a skate park. Don't be obtuse.
2020-04-19 23:59:42,@mjoshdavid,Josh M.,"Pittsburgh, PA",89,I miss just going to DQ or Scoops to get ice cream. #coronavirus
2020-04-19 23:59:42,@benoitgomis,Benoît Gomis,"Toronto, Ontario",1539,Great piece by @pilitaclark @FT on Jacinda Ardern's handling of the COVID-19 crisis: https://t.co/3RjvaSKXWY Certainly reminiscent of the NZ PM's exemplary response to the Christchurch terrorist attacks: https://t.co/4rX5PWRxxG
2020-04-19 23:59:42,@DevonHeinen,Devon Heinen,"Seattle, WA",757,"#BREAKING US gov't #Coronavirus Task Force presser: #Trump gets a Q if he's concerned about inciting violence re: 'liberate' protests. Trump says that the protesters have ""cabin fever"" and says they're patriotic.  #COVID19"
2020-04-19 23:59:41,@worldpeace20204,worldpeace2020,United States,0,"@NYGovCuomo The distributors are McKesson Corp., Owens &amp; Minor, Cardinal Health, Medline Industries and Henry Schein. These five received an exemption from US antitrust laws on Saturday for their collaboration on the COVID-19 Airbridge project."
2020-04-19 23:59:41,@NBDPress,National Business Daily,Shanghai,6558,".#NeimanMarcus Group is preparing to seek #bankruptcy protection as soon as this week, becoming the first major US department store operator to succumb to the economic fallout from the #coronavirus outbreak, people familiar with the matter said. (NewYork Post) https://t.co/hDkJ6HOCCJ"
2020-04-19 23:59:41,@WolframEmilio,Emilio Wolfram,The Netherlands,194,@CNN #CNN #Corona #coronavirus #COVID19 #Coronanews #PANDEMIC  And it's not oke when you're oke with the not oke's! #COMEONPEOPLE  https://t.co/39ra9Jhmkn
2020-04-19 23:59:41,@samsondenver,sam denver,Western US,27720,Trump and Pence called out as ‘delusional’ by Virginia governor for lying about COVID-19 test availability https://t.co/OcJfkwQTJm
2020-04-19 23:59:41,@EBCNEWSs,EBC NEWS©™,"Blue Earth, MN ",266,"@SenKamalaHarris #Uk people who have died in hospital from the #coronavirus has reached 16,060...#COVID19  https://t.co/Hg77Khx8sA"
2020-04-19 23:59:40,@NicoleMRyanVamp,Nicole Ryan,Alany NY My own litte world,75,Pa government : To allow pet grooming to be essential for pets health during the covid 19 https://t.co/b8OfrUWQjr via @Change
2020-04-19 23:59:39,@HomelessIndy,Indy Homeless,,3,@WTHRcom What about the people who are already #foodinsecure?  Is #indianapolis going to continue ignoring the #poor and #homeless population? The understaffed shelters are full of sick people who are spreading this disease. #HomelessCantStayHome #COVID19 #COVIDー19 #coronavirus
2020-04-19 23:59:39,@SavilleAssessAP,SavilleAssess APAC,Australia,142,HR international: how other countries are dealing with COVID-19 &lt; https://t.co/7T5tSRSulM &gt; via @HRMeditor #HR #Covid19 #International
2020-04-19 23:59:38,@Ghaffar__B,Jamal,Area 51 ,2584,"I really think this covid 19 in Nigeria is politically rigged wtf 😂, 70 new cases in Lagos na wa oooo"
2020-04-19 23:59:38,@happyzubon,g r a b t h a r,"Seattle, WA",14,@its_Alyssa183 @TaylorTwoTails @GovInslee COVID-19 hasn’t even been in the US for a year (hardly a couple months has it even been widespread) so it doesn’t make sense to compare it to yearly counts for the flu.
2020-04-19 23:59:38,@kandemo,なんでも　かんでも,徳島県,566,https://t.co/CkxUcAvLh4 Japan losing patience with government over COVID-19 response
2020-04-19 23:59:37,@Agent99XXX,(((Melissa L))),USA,829,Coronavirus (COVID-19) Update: Serological Tests https://t.co/25P2ESIbWc No test for public use has been authorized by the FDA.  Do not be scammed.
2020-04-19 23:59:37,@edificelabs,Edifice Labs,Bangalore,215,@JudgeJeanine @realDonaldTrump @PressSec Invoking the Divine Feminine.Please rescue us .We surrender. https://t.co/9zOL4UYdcE @narendramodi @realDonaldTrump @EmmanuelMacron @AngelaMerkeICDU @KremlinRussia @AbeShinzo @BarackObama @ScottMorrisonMP #COVID #Covid_19 #quarantine #QuarantineLife #StayAtHome #StayHome #Corona
2020-04-19 23:59:36,@ObservatoryLY,صحيفة المرصد الليبية,Libya,58673,"VIDEO | Mohamed #Mirgham of the #Muslim #Brotherhood's Justice &amp; Construction Party: God has inflicted #coronavirus on #Europe so that #Turkey can focus on its battles. God has protected it, and so it had no significant economic or military impact. #Libya https://t.co/LKrPpXaYXN"
2020-04-19 23:59:35,@MistaBlack,MistaBlack,NYC,79,@derZihao @NJjacobs1 @williamlegate @realDonaldTrump The qualifier in your statement as a representative of China'H is (US).  Proud of our rapid facilitation of the delivery of donated life-saving personal protection equipment and medical and humanitarian relief supplies to the people affected by the #coronavirus in #China. Pompeo
2020-04-19 23:59:35,@RockyAsmr,RockyASMR,the n,209,My new video is up! check it out now!!!!  https://t.co/VQCYahDtuB via @YouTube  #asmr #asmrtist #corona #covid-19 #lockdown #personalattention
2020-04-19 23:59:35,@Crisp_Lord,Omo OlokunEsin🏇 ✍️ 🇨🇦🇳🇬,"Lekki, Nigeria",9603,Headquarters of Covid-19 https://t.co/EtKsVCLQwZ
2020-04-19 23:59:35,@AoVictoria,Victoria Holsinger,,3,What about the #immigrant children in cages at the boarder. They need to be checked for #coronavirus @maddow #AMJoy
2020-04-19 23:59:34,@aporter925,A.Banks925🇺🇸,,265,"Trump is straight up evil. He &amp; #maga folks hate and fear the media that confront them with facts, truth and science. MAGA folks want people to bow &amp; scrape to him. These are backward people who want to drag the nation back no matter the cost of lives. #Coronavirus #PressBriefing"
2020-04-19 23:59:33,@Lalo_Landa11,Lalo Landa,Panamá,9,New York mayor De Blasio asks if Trump is telling city to 'drop dead' over Covid-19 https://t.co/wJqEoHx9tZ https://t.co/pWgLuigARm
2020-04-19 23:59:33,@JustCanadianGal,Old Woman’s Chair,@world via Canada,477,Ontario scrambling to replace ‘outdated’ health-data system as COVID-19 batters nursing homes | The Star  underfunded and kaboom  maybe #cdnpolis recognize the elephants now   https://t.co/rEDweNECUh
2020-04-19 23:59:32,@BelindaSheklaiY,Belinda Sheklai Yung,,7,"03/24/20 China: Wuhan has 81500 COVID-19 cases, 3280 deaths, started in December. It’s a big delusional lie. How many months from December to March? 01/29/20 U.S.A.: First case at WA. On 03/12/20, N.Y. has 212 cases; CA has 181 cases; no death. Today 724926 cases, 40000 deaths."
2020-04-19 23:59:32,@UrduPointEng,UrduPoint English News,Pakistan and Dubai,8926,Indian Muslims is being targeted to divert backlash of Modi's COVID-19 policy says PM https://t.co/5C6sMLLw2B
2020-04-19 23:59:32,@WirdNurd,WIRD NURD,Australia and Asia,20,Stay safe from COVID-19... and from police bullying. https://t.co/SSKFeFUH6M
2020-04-19 23:59:31,@HeyfromJapan,Emily Cannell,"Philadelphia, PA",672,The Coronavirus Kick I Needed - new blog post https://t.co/PSiHn3Mqik via @Heyfromjapan #Coronavirus #lockdown #Humor #ExcuseForLaziness #TogetherAtHome
2020-04-19 23:59:31,@BarbaraBarrWGAL,BarbaraBarrWGAL,"Lancaster, PA",1751,Lancaster County continues to report high percentage of coronavirus deaths https://t.co/FUKBEQfyRW
2020-04-19 23:59:31,@newsradiolk,NewsRadio - TNLRN,"Colombo, Sri Lanka",3020,"17 persons tested positive for COVID-19 yesterday, the second biggest increase in cases in a day in Sri Lanka. Total confirmed cases: 271 Active cases: 168 Suspected cases: 122 Recovered: 96 Deaths: 07 #SriLanka #Lka #COVID19SL"
2020-04-19 23:59:31,@sources_unnamed,Unnamed Sources,"Living is the Cloud,   Surrounded by Smoke and Mirrors",1,Des Moines Register: Iowa made the Tyson plant outbreak possible  https://t.co/sdjnVd2r0i
2020-04-19 23:59:30,@Jackcheeno123,Jcruz,,22,@charliekirk11 That’s what I asked myself!!!! This is ridiculous! Oh wait it’s only because Trump is in office and he isn’t “ one of the good ole boys” thats why their is such media hysteria” but my other question is... do they really know what “ covid 19” is?  And why Covid 19
2020-04-19 23:59:30,@eagleeye_Pam,Pamela UG,,9,"@Nwankpa_A Also, the reporting of test results is inadequate. It's quite unfortunate this COVID-19 came during this administration."
2020-04-19 23:59:30,@BillyGunn19,Billy Gunn,"London, England",234,"#coronavirus #COVID19 YOU c*#@ you've taken away hundreds of thousands of lives! The Chinese obsession with eating strange food! I'm coming for YOU! A virus that ripped apart families, destroyed lifes. 5 hours I watched this disease. Our Drs, Nurses and care providers are heroes"
2020-04-19 23:59:30,@edificelabs,Edifice Labs,Bangalore,215,@ErinMPerrine @realDonaldTrump Invoking the Divine Feminine.Please rescue us .We surrender. https://t.co/9zOL4UYdcE @narendramodi @realDonaldTrump @EmmanuelMacron @AngelaMerkeICDU @KremlinRussia @AbeShinzo @BarackObama @ScottMorrisonMP #COVID #Covid_19 #quarantine #QuarantineLife #StayAtHome #StayHome #Corona
2020-04-19 23:59:30,@DexmondHome,Dexmond Home,"Barcelona, Spain",12,"@RichardDelaSky @NAkufoAddo Who else is seeing what I am seeing?  He went for $1.2b IMF loan to support the Covid-19 economy. After receiving the funds, he reopened the economy. So the 280 million meant for feeding the vulnerable, where is the rest?   This is fraud😥 Return the remaining money @NAkufoAddo"
2020-04-19 23:59:30,@GregWouters,Greg Wouters,"Ontario, Canada",89,Due to the COVID-19 pandemic our season was brought to a premature end and the boys did not get a chance to compete in the @OBANews  Provincial Championship this past weekend.   I have no doubt we would have had a… https://t.co/2zGCEAqMrK
2020-04-19 23:59:30,@EsteroVillage,Village of Estero,"Estero, Florida",93,Estero 4/19/20 Village of Estero Coronavirus (COVID-19) Government Updates https://t.co/kmYAH7uHSE https://t.co/ZWuUfHpAOj
2020-04-19 23:59:29,@JezDrake,Jeremy Drake,Australia,213,It looks like that 60k figure touted early by @realDonaldTrump was a pipe dream. #USA in for a lot more pain based on this. #TearsForAmerica #coronavirus #CoronavirusUSA https://t.co/sJKFCipaPZ
2020-04-19 23:59:29,@devoradotv,DevoradoTV,"New York, NY",11,Coronavirus: Can we beat COVID-19 without a vaccine? | Today Show Australia https://t.co/RTC0WY1vZa https://t.co/DC5pUvs5qq
2020-04-19 23:59:29,@TyeAryeh,The Brat Prince,Wonderland,3065,The liberators will be here tomorrow. I feel sick to my stomach. I’m not leaving the house. Period.  #AZ #arizona #phoenix #azcentral #coronavirus #TrumpLiesAmericansDie #StayHome #Quarantine #SocialDistancing #StayatHome #TrumpLiesPeopleDie #Repost https://t.co/qv0BfaprMZ
2020-04-19 23:59:29,@UmranToday,Munir Umrani,Chicago,34,Coronavirus in Illinois updates: Here’s what’s happening Sunday with COVID-19 in the Chicago area https://t.co/uygcclnSi9
2020-04-19 23:59:29,@richard_g95,Richard Gaston,"Lakewood, WA",3564,@Wildcats191 @Sandman90701996 @Comanchegyrl @TPWDnews @TPWDparks @GovAbbott Wildcats19 on how many people actually have died from Covid-19 lets wait until the actual DATA comes in not what MSM is telling us. It's already coming out that those numbers may not be the actual numbers seeing people may have died for other reasons but are being processed as
2020-04-19 23:59:28,@SaeedQatan,Saeed Qatan,UK ,663,I wish I could have a time machine so the world could prepare to stop the Covid-19 before it hits.
2020-04-19 23:59:28,@Ripper77Jack,JBA,"Florida, USA",962,"@Strandjunker The @IntlCrimCourt should be drawing up Article 7 ""Crimes Against Humanity"" Charges against @realDonaldTrump @POTUS for the thousands of people who died because of his Narcissistic Ego that kept him from acting to fight #coronavirus #COVID19 for 70 days &amp; profiteering instead."
2020-04-19 23:59:28,@Michael75252993,Michael A. Brown,"San Diego, CA",1105,Thousands of Israelis brave COVID-19 health risks to protest against Netanyahu  https://t.co/ren4vBj1I8
2020-04-19 23:59:28,@sistateacher,sistateacher ☮️✌🏽🙏🏽💙💞🦋,NJ,995,Tomorrow is the 2nd #bestillmondays in Newark. Mayor Baraka has asked this to be done as a public health response to the pandemic. Let us be a model for others to flatten the curve and stop the spread of COVID-19. You can live in another area and observe Be Still Mondays.
2020-04-19 23:59:28,@SlipKid60,Frogger!,"New York, USA",604,@realDonaldTrump 1/3 of all COVID-19 cases are in the USA. 1/4 of all deaths globally. You’re doing a great job you fuckng incompetent scumbag.
2020-04-19 23:59:27,@YourFavPROMUA,TheLearnedYòrùbán,"Lagos, Nigeria",69,"Ever since I saw that #COVID 19 update for Lagos, my heart has been beating fast!😩😩😩"
2020-04-19 23:59:27,@annewxsoft,gui,⠀⠀˴🎨⠀g.⠀w.⠀𝗌.⠀𝗇.,730,#followtrick #BBB2020 #ThankYouBTS #TogetherAtHome #COVIDー19 #BBB20 #ForaIvy #BTS_concert_at_home #BTS #BANGBANGCON_D2 #BANGBANGCON #coronavirus #lockdown fancam bts kpop red velvet seulgi blackpink comeback hiatus exposed famosinho squad pornô porn bts gay exo preciso de view🍃 https://t.co/5Vg4f1KnCB
2020-04-19 23:59:27,@proudgrandpa00,David St. Germain,above ground,339,During the covid-19 briefing right now said he did not want @SenatorRomney ‘s advise. President @realDonaldTrump was asked by a @SaltLakeTribBRK reporter why Romney was only @GOP @SenateGOP not invited to economic reopening task force.
2020-04-19 23:59:27,@6katsandrabbit,Kat,,322,"@svdate @RadioFreeTom They should nicely ask""aren't these supposed to be Covid 19 pressers to update the public?  When he says yes then say why are talking about guns.  Is it really that hard?"
2020-04-19 23:59:27,@pollwatcher9,politics,,491,"If anyone wondered how Germans could have supported Hitler, look no further than the Trump cult members that will believe anything he says. If a Dem was POTUS, they’d be protesting that US hadn’t done enough shut down #coronavirus #covidUSA https://t.co/aj4tsFK6nC"
2020-04-19 23:59:26,@Klarevas,Louis Klarevas,United States,3832,I know a lot of people are calling for the cable news channels to stop covering the daily Trump #coronavirus #PressBriefing. But maybe what we really need is for every network and cable channel to cover them so every American is forced to see how unhinged the president is.
